stem,marker_id,rot,raw_mean_err,raw_max_err,raw_tl_err_px,raw_phi,cls_mean_err,cls_max_err,cls_tl_err_px,cls_phi,cnn_mean_err,cnn_max_err,cnn_tl_err_px,cnn_phi,delta_mean_err,delta_phi
000000221856,111,2,163.0009,237.3553,237.3553,0.0000,162.7980,237.3553,237.3553,0.0000,85.5526,167.4594,167.4594,0.0000,-77.2454,0.0000
000000221856,60,0,34.1086,48.7978,27.7805,0.1671,35.2260,53.0173,27.7805,0.1671,17.6829,22.7456,20.2552,0.3863,-17.5430,0.2192
000000292685,151,1,43.8014,58.3530,56.2078,0.0007,44.7585,58.3530,56.9485,0.0005,26.9833,30.1690,27.2800,0.1781,-17.7752,0.1776
000000292685,199,2,148.8207,211.9507,211.9507,0.0000,148.6419,211.2356,211.2356,0.0000,74.4370,147.5481,147.5481,0.0000,-74.2050,0.0000
000000292685,193,2,19.1406,31.6218,31.6218,0.0985,19.1406,31.6218,31.6218,0.0985,12.6938,24.8021,24.8021,0.2403,-6.4468,0.1418
000000292685,130,1,19.7286,25.7769,25.0022,0.2348,19.7286,25.7769,25.0022,0.2348,11.5189,12.6598,11.6191,0.7313,-8.2097,0.4965
000000292685,137,1,22.5727,28.7876,28.3087,0.1560,21.6641,28.3087,28.3087,0.1560,14.1037,14.8465,13.9559,0.6367,-7.5604,0.4806
000000292685,241,0,35.9191,50.4427,23.4994,0.2780,35.9191,50.4427,23.4994,0.2780,18.3610,35.3738,2.2402,0.9884,-17.5582,0.7104
000000562875,182,2,121.7368,188.0264,187.8968,0.0000,122.0521,190.5501,190.5501,0.0000,70.2953,138.8706,138.6937,0.0000,-51.7568,0.0000
000000562875,4,1,45.4353,52.0929,36.6509,0.0444,46.3518,52.9257,39.2885,0.0279,31.5943,34.1966,29.8152,0.1274,-14.7575,0.0994
000000113513,188,3,208.8536,272.6354,271.9526,0.0000,208.8536,272.6354,271.9526,0.0000,140.1832,143.2351,140.8044,0.0000,-68.6704,0.0000
000000113513,183,3,18.5238,20.4087,20.4087,0.3808,18.8560,21.7375,21.7375,0.3344,13.1310,13.7171,13.2314,0.6664,-5.7250,0.3320
000000113513,234,1,24.6906,26.0631,22.6871,0.3032,23.6653,26.0631,22.6871,0.3032,19.0373,20.5019,17.7621,0.4812,-4.6279,0.1780
000000286124,152,1,178.2699,211.0676,211.0676,0.0000,178.2699,211.0676,211.0676,0.0000,119.3931,120.6467,118.3662,0.0000,-58.8768,0.0000
000000286124,33,2,29.1259,41.6527,39.2835,0.0279,29.4044,41.6527,39.2835,0.0279,15.0155,29.6266,28.2916,0.1564,-14.3889,0.1284
000000286124,147,1,22.4403,29.6493,29.6493,0.1303,21.9796,29.6493,29.6493,0.1303,13.7814,14.8008,14.8008,0.6018,-8.1982,0.4715
000000286124,17,3,55.7577,63.0241,44.1750,0.0108,56.9930,63.0241,45.6911,0.0079,42.8527,49.2403,39.4148,0.0273,-14.1403,0.0194
000000286124,168,3,46.7627,53.2339,35.2993,0.0557,46.4874,53.2339,35.2993,0.0557,33.1708,38.7735,29.6547,0.1302,-13.3166,0.0745
000000359760,40,2,129.1110,171.3384,171.3384,0.0000,129.7762,171.3384,171.3384,0.0000,62.2108,121.2225,121.2225,0.0000,-67.5654,0.0000
000000359760,44,2,33.5165,46.2293,46.2293,0.0071,31.8648,42.3279,41.0407,0.0201,16.5639,31.7265,31.7265,0.0970,-15.3009,0.0768
000000191874,13,1,151.5455,174.9461,138.6961,0.0000,152.5569,174.9461,142.7420,0.0000,113.7135,120.3517,120.3517,0.0000,-38.8434,0.0000
